Strain,Stress,Strain Rate,Temperature
0.04653,49.97221,0.01,250
0.04661,50.15439,0.01,250
0.0466,50.33647,0.01,250
0.04679,50.51739,0.01,250
0.0469,50.69854,0.01,250
0.04682,50.87902,0.01,250
0.04692,51.05962,0.01,250
0.04717,51.23949,0.01,250
0.04721,51.41963,0.01,250
0.04735,51.59916,0.01,250
0.04728,51.77929,0.01,250
0.04757,51.95909,0.01,250
0.04762,52.13933,0.01,250
0.04775,52.31889,0.01,250
0.0478,52.4981,0.01,250
0.04785,52.67601,0.01,250
0.04802,52.85356,0.01,250
0.04817,53.0298,0.01,250
0.04827,53.20598,0.01,250
0.04824,53.38081,0.01,250
0.04824,53.55521,0.01,250
0.0485,53.72851,0.01,250
0.04872,53.90164,0.01,250
0.04868,54.07384,0.01,250
0.0489,54.24578,0.01,250
0.049,54.41641,0.01,250
0.04909,54.58606,0.01,250
0.0493,54.75435,0.01,250
0.04935,54.92202,0.01,250
0.04932,55.08835,0.01,250
0.0494,55.25428,0.01,250
0.04937,55.41843,0.01,250
0.0497,55.58174,0.01,250
0.04971,55.74332,0.01,250
0.0498,55.90406,0.01,250
0.04997,56.06346,0.01,250
0.04997,56.22228,0.01,250
0.05013,56.37945,0.01,250
0.05027,56.53574,0.01,250
0.05039,56.69041,0.01,250
0.0505,56.84435,0.01,250
0.05058,56.99699,0.01,250
0.05067,57.14923,0.01,250
0.05075,57.30013,0.01,250
0.05083,57.45049,0.01,250
0.05097,57.59949,0.01,250
0.05103,57.74829,0.01,250
0.05125,57.89625,0.01,250
0.0512,58.04395,0.01,250
0.05136,58.19036,0.01,250
0.05153,58.33605,0.01,250
0.05148,58.48026,0.01,250
0.05157,58.62412,0.01,250
0.05171,58.7669,0.01,250
0.05175,58.9093,0.01,250
0.05196,59.0505,0.01,250
0.05202,59.19107,0.01,250
0.05209,59.33028,0.01,250
0.05235,59.46893,0.01,250
0.05235,59.60646,0.01,250
0.05244,59.74332,0.01,250
0.05248,59.87902,0.01,250
0.05259,60.01403,0.01,250
0.05276,60.14806,0.01,250
0.05279,60.28191,0.01,250
0.05291,60.41526,0.01,250
0.05302,60.54899,0.01,250
0.05315,60.68215,0.01,250
0.05327,60.81514,0.01,250
0.05326,60.94721,0.01,250
0.05327,61.07884,0.01,250
0.05338,61.20957,0.01,250
0.05363,61.33953,0.01,250
0.05384,61.46828,0.01,250
0.05386,61.59615,0.01,250
0.05388,61.72268,0.01,250
0.05402,61.84843,0.01,250
0.05422,61.97384,0.01,250
0.0544,62.09936,0.01,250
0.05431,62.22437,0.01,250
0.05447,62.34917,0.01,250
0.05448,62.47289,0.01,250
0.05472,62.59616,0.01,250
0.05484,62.71873,0.01,250
0.05487,62.84025,0.01,250
0.05498,62.9606,0.01,250
0.05516,63.0797,0.01,250
0.05512,63.19756,0.01,250
0.05534,63.31445,0.01,250
0.05545,63.43118,0.01,250
0.05545,63.54734,0.01,250
0.05561,63.66303,0.01,250
0.05571,63.7784,0.01,250
0.05575,63.89343,0.01,250
0.05595,64.0083,0.01,250
0.0559,64.12309,0.01,250
0.05611,64.23745,0.01,250
0.05627,64.35178,0.01,250
0.05619,64.46533,0.01,250
0.05644,64.57823,0.01,250
0.05658,64.69049,0.01,250
0.05653,64.80239,0.01,250
0.05666,64.91325,0.01,250
0.05679,65.02377,0.01,250
0.05692,65.13366,0.01,250
0.05695,65.24341,0.01,250
0.05713,65.35274,0.01,250
0.05718,65.46204,0.01,250
0.05721,65.57068,0.01,250
0.05735,65.67924,0.01,250
0.05745,65.78679,0.01,250
0.05759,65.89369,0.01,250
0.05767,65.9999,0.01,250
0.05776,66.10586,0.01,250
0.05789,66.21122,0.01,250
0.05784,66.31678,0.01,250
0.0581,66.42193,0.01,250
0.0582,66.52679,0.01,250
0.05823,66.63102,0.01,250
0.05838,66.7343,0.01,250
0.05835,66.83674,0.01,250
0.0585,66.9391,0.01,250
0.05872,67.04096,0.01,250
0.0588,67.14234,0.01,250
0.05899,67.24363,0.01,250
0.05903,67.34474,0.01,250
0.05906,67.44584,0.01,250
0.05921,67.5468,0.01,250
0.0593,67.647,0.01,250
0.05935,67.74584,0.01,250
0.0595,67.8437,0.01,250
0.05952,67.94056,0.01,250
0.05975,68.03735,0.01,250
0.05973,68.13391,0.01,250
0.05985,68.23047,0.01,250
0.06,68.32665,0.01,250
0.06019,68.42329,0.01,250
0.0603,68.51935,0.01,250
0.06037,68.61549,0.01,250
0.06036,68.7108,0.01,250
0.06047,68.80559,0.01,250
0.0605,68.89929,0.01,250
0.06067,68.99261,0.01,250
0.06078,69.08486,0.01,250
