Strain,Stress,Strain Rate,Temperature
0.07223,123.66855,0.001,250
0.07291,123.85726,0.001,250
0.07355,124.04597,0.001,250
0.07428,124.23469,0.001,250
0.07525,124.4234,0.001,250
0.07602,124.61212,0.001,250
0.0767,124.80083,0.001,250
0.07735,124.98955,0.001,250
0.07797,125.17826,0.001,250
0.07863,125.36697,0.001,250
0.07925,125.55569,0.001,250
0.07981,125.7444,0.001,250
0.08037,125.93312,0.001,250
0.08094,126.12183,0.001,250
0.08153,126.31055,0.001,250
0.08213,126.49926,0.001,250
0.08273,126.68798,0.001,250
0.08332,126.87669,0.001,250
0.08393,127.06541,0.001,250
0.08456,127.25412,0.001,250
0.08535,127.44284,0.001,250
0.08623,127.63155,0.001,250
0.08714,127.82026,0.001,250
0.08806,128.00898,0.001,250
0.08924,128.19769,0.001,250
0.09056,128.3864,0.001,250
0.09217,128.57511,0.001,250
0.09343,128.76382,0.001,250
0.09445,128.95253,0.001,250
0.09531,129.14125,0.001,250
0.09621,129.32996,0.001,250
0.09707,129.51868,0.001,250
0.09792,129.70739,0.001,250
0.0987,129.8961,0.001,250
0.09941,130.08482,0.001,250
0.10002,130.27353,0.001,250
0.10063,130.46225,0.001,250
0.10122,130.65096,0.001,250
0.10171,130.83968,0.001,250
0.1022,131.02839,0.001,250
0.10266,131.21711,0.001,250
0.10311,131.40582,0.001,250
0.10351,131.59454,0.001,250
0.1039,131.78325,0.001,250
0.10427,131.97197,0.001,250
0.10461,132.16068,0.001,250
0.10494,132.3494,0.001,250
0.10525,132.53812,0.001,250
0.10552,132.72683,0.001,250
0.1058,132.91555,0.001,250
0.10608,133.10426,0.001,250
0.10639,133.29298,0.001,250
0.10669,133.48169,0.001,250
0.107,133.67041,0.001,250
0.10731,133.85912,0.001,250
0.10762,134.04784,0.001,250
0.10794,134.23656,0.001,250
0.10823,134.42527,0.001,250
0.10853,134.61399,0.001,250
0.10883,134.8027,0.001,250
0.10917,134.99142,0.001,250
0.10952,135.18013,0.001,250
0.10986,135.36885,0.001,250
0.11021,135.55756,0.001,250
0.11056,135.74628,0.001,250
0.11096,135.935,0.001,250
0.11143,136.12371,0.001,250
0.11191,136.31243,0.001,250
0.11244,136.50114,0.001,250
0.11304,136.68986,0.001,250
0.11377,136.87857,0.001,250
0.11463,137.06728,0.001,250
0.11602,137.25599,0.001,250
0.11789,137.4447,0.001,250
0.12016,137.6334,0.001,250
0.12188,137.82211,0.001,250
0.12349,138.01082,0.001,250
0.1253,138.19953,0.001,250
0.12728,138.38823,0.001,250
0.12923,138.57694,0.001,250
0.13067,138.76565,0.001,250
0.13174,138.95436,0.001,250
0.13275,139.14307,0.001,250
0.13383,139.33179,0.001,250
0.13502,139.5205,0.001,250
0.1364,139.70921,0.001,250
0.13794,139.89792,0.001,250
0.13961,140.08663,0.001,250
0.14173,140.27533,0.001,250
0.14445,140.46402,0.001,250
0.14795,140.6527,0.001,250
0.14932,140.84141,0.001,250
0.15026,141.03013,0.001,250
0.1513,141.21884,0.001,250
0.15216,141.40755,0.001,250
0.15301,141.59627,0.001,250
0.1538,141.78498,0.001,250
0.15469,141.9737,0.001,250
0.15561,142.16241,0.001,250
0.1566,142.35112,0.001,250
0.15764,142.53984,0.001,250
0.15892,142.72855,0.001,250
0.16033,142.91726,0.001,250
0.16189,143.10597,0.001,250
0.16374,143.29467,0.001,250
0.16535,143.48338,0.001,250
0.16655,143.67209,0.001,250
0.1676,143.86081,0.001,250
0.16874,144.04952,0.001,250
0.16992,144.23823,0.001,250
0.17108,144.42694,0.001,250
0.17237,144.61566,0.001,250
0.1739,144.80436,0.001,250
0.17577,144.99307,0.001,250
0.17738,145.18178,0.001,250
0.17884,145.37049,0.001,250
0.18043,145.5592,0.001,250
0.18226,145.74791,0.001,250
0.18355,145.93662,0.001,250
0.18485,146.12533,0.001,250
0.18612,146.31404,0.001,250
0.18784,146.50275,0.001,250
0.19035,146.69145,0.001,250
0.19332,146.88014,0.001,250
0.19621,147.06883,0.001,250
0.20097,147.25748,0.001,250
0.20329,147.44618,0.001,250
0.20521,147.63488,0.001,250
0.20687,147.82359,0.001,250
0.20835,148.0123,0.001,250
0.20974,148.20101,0.001,250
0.21095,148.38972,0.001,250
0.21259,148.57843,0.001,250
0.21498,148.76713,0.001,250
0.21726,148.95583,0.001,250
0.219,149.14454,0.001,250
0.22043,149.33325,0.001,250
0.22236,149.52196,0.001,250
0.22421,149.71066,0.001,250
0.22743,149.89935,0.001,250
0.22916,150.08806,0.001,250
0.23082,150.27677,0.001,250
0.2332,150.46547,0.001,250
0.23598,150.65416,0.001,250
0.23884,150.84286,0.001,250
0.24054,151.03156,0.001,250
0.24175,151.22028,0.001,250
0.24272,151.40899,0.001,250
0.24363,151.5977,0.001,250
0.24444,151.78642,0.001,250
0.2452,151.97513,0.001,250
0.24613,152.16385,0.001,250
0.24707,152.35256,0.001,250
